,title,price,location
0,[' ALQUILER APTO. A ESTRENAR EN COND. ALTOS TOWER (Inm. Prol. Juan Pablo II)'],"['$1,200.00\xa0']",[' San Salvador ']
1,[' ALQUILER APARTAMENTO AVITAT ONE CON VISTA A LA CIUDAD EN ANTIGUO CUSCATLAN'],['$950.00\xa0'],[' Antiguo Cuscatlán ']
2,"[' ALQUILER APARTAMENTO SIN MUEBLES EN CONDOMINIO LAS NUBES (Colonia Escalón, parte alta)']",['$950.00\xa0'],[' San Salvador ']
3,[' Apartamento en alquiler col. Escalón'],['$950.00\xa0'],[' San Salvador ']
4,"[' ALQUILO APARTAMENTO DE 325 METROS EN COLONIA ESCALÓN DE 3 HABITACIONES, 2 PARQUEOS']","['$1,750.00\xa0']",[' San Salvador ']
5,"[' EN ALQUILER APARTAMENTO CON LINEA BLANCA Ó AMUEBLADO, EN COLONIA SAN BENITO']","['$1,550.00\xa0']",[' San Salvador ']
6,[' Apartamento PUERTA del ALMA Full Lujo Amueblado Alquiler'],"['$3,000.00\xa0']",[' Antiguo Cuscatlán ']
7,[' Alquiler de apartamento amueblado'],"['$1,200.00\xa0']",[' San Salvador ']
8,[' ALQUILO - Apartamento tipo Trino - Casas del Arbol - Condado Santa Rosa'],"['$1,400.00\xa0']",[' Santa Tecla ']
9,[' Alquiler Apartamento en Colonia Escalon En Murano'],['$900.00\xa0'],[' San Salvador ']
10,[' Se Alquila Apartamento en Colonia Escalón'],"['$1,800.00\xa0']",[' San Salvador ']
11,"[' APARTAMENTO EN ALQUILER, SOLE BLU, COL. SAN FRANCISCO, SAN SALVADOR']","['$1,250.00\xa0']",[' San Salvador ']
12,[' ALQUILER DE APARTAMENTOS AMUEBLADOS'],['$250.00\xa0'],[' San Miguel ']
13,[' Apartamento San Benito CASA 5 AMUEBLADO Alquiler'],"['$2,250.00\xa0']",[' San Salvador ']
14,[' Apartamento en torre maquillishuat'],"['$1,300.00\xa0']",[' San Salvador ']
15,[' Alquiler de Apartamento Finamente Amueblado en exclusiva Torre Maquilishuat'],"['$1,800.00\xa0']",[' Santa Tecla ']
16,[' Alquiler Apartamento a Estrenar Moderno Colonia Escalon'],"['$1,200.00\xa0']",[' San Salvador ']
17,"[' ALQUILO APARTAMENTO EN PRIMER NIVEL, COLONIA ESCALÓN. 2 HABITACIONES Y CUARTO DE EMPLEADA']",['$775.00\xa0'],[' San Salvador ']
18,"[' Renta Apartamento, exclusivo Condominio Terra Alta, 10o. Piso Col. Escalón']","['$1,800.00\xa0']",[' San Salvador ']
19,[' Apartamento amueblado en alquiler Colonia Escalon Terra Alta'],"['$1,900.00\xa0']",[' San Salvador ']
20,"[' Apto tipo estudio: cuarto,  cocina, baño  Frente a Cafetalon Santa Tecla']",['$240.00\xa0'],[' Santa Tecla ']
21,"[' VENDO APARTAMENTO EN COSTA DEL SOL. EXCLUSIVO COMPLEJO $218,000 PRECIO FIJO']","['$218,000.00\xa0']",[' La Paz ']
22,[' SE ALQUILA APARTMENTO A ESTRENAR EN ALTOS TOWER'],"['$1,050.00\xa0']",[' San Salvador ']
23,[' Alquiler de apartamento con linea blanca Colonia Escalon'],"['$1,450.00\xa0']",[' La Libertad ']
24,"[' ALQUILER DE APARTAMENTO, CONDOMINIO TERRANOVA, SAN BENITO, SAN SALVADOR']",['$650.00\xa0'],[' San Salvador ']
25,[' En Alquiler Apartamento Amueblado en Colonia Escalón'],"['$1,300.00\xa0']",[' San Salvador ']
26,[' Se Alquila Apartamento full Amueblado en colonia escalón.'],"['$1,150.00\xa0']",[' San Salvador ']
27,"[' ALQUILER DE BONITO APARTAMENTO SAN BENITO, AMUEBLADO']","['$1,350.00\xa0']",[' San Salvador ']
28,[' Alquiler apartamento Altos Tower en Altos de La Escalón San Salvador'],"['$1,100.00\xa0']",[' San Salvador ']
29,[' APARTAMENTO EN RENTA A ESTRENAR EN ALTOS TOWER'],"['$1,200.00\xa0']",[' San Salvador ']
30,[' Apartamento Zona Ufg (Maestrias) Remodelado con Finos Acabados'],['$550.00\xa0'],[' San Salvador ']
31,"[' ALQUILO APARTAMENTO EN ESCALON, CON VISTA']",['$750.00\xa0'],[' Santa Tecla ']
32,[' Alquilo Apto en Col. Escalon 1er nivel'],['$730.00\xa0'],[' San Salvador ']
33,[' SE ALQUILA APARTAMENTO LÍNEA BLANCA TORRE PASEO ESCALON'],['$900.00\xa0'],[' San Salvador ']
34,"[' Alquiler de apartamento en Casa 5, de 1 habitación. San Benito']","['$1,900.00\xa0']",[' San Salvador ']
35,[' Alquiler Apto. Torre del Bosque. $1400 Neg.'],"['$1,400.00\xa0']",[' San Salvador ']
36,[' Se renta apartamento a un costado de odontología de la UES'],['$300.00\xa0'],[' San Salvador ']
37,[' Alquilo apartamento amueblado en san Benito'],"['$1,100.00\xa0']",[' San Salvador ']
38,[' Alquilo apartamento amueblado col .Escalon'],"['$1,000.00\xa0']",[' San Salvador ']
39,[' ALQUILO APARTAMENTO TORRE LIFE CONTADO SANTA ELENA'],"['$1,150.00\xa0']",[' San Salvador ']
40,[' APARTAMENTO A ESTRENAR EN SAN BENITO'],"['$1,600.00\xa0']",[' San Salvador ']
41,[' APARTAMENTO EN RENTA EN PORTAL LOS FAROS TORRE'],"['$1,850.00\xa0']",[' San Salvador ']
42,[' Se Alquila Apartamento en torre las Nubes'],['$900.00\xa0'],[' San Salvador ']
43,"[' Se Alquila Apartamento a Estrenar en Altos Tower , Colonia Escalon']","['$1,050.00\xa0']",[' San Salvador ']
44,[' ALQUILO APARTAMENTO AMUEBLADO EN TORRE CASA 5 SAN BENITO.  APARTAMENTO 4º NIVEL'],"['$1,900.00\xa0']",[' San Salvador ']
45,[' APARTAMENTO CON LÍNEA BLANCA EN TORRE LIBERTAD'],"['$1,200.00\xa0']",[' San Salvador ']
46,[' OFREZCO APARTAMENTO EN RENTA EN PORTAL LOS FAROS TORRE'],"['$1,850.00\xa0']",[' San Salvador ']
47,"[' APARTAMENTO CON LÍNEA BLANCA EN TORRE LIBERTAD,']","['$1,200.00\xa0']",[' San Salvador ']
48,[' ALQUILER DE APARTAMENTO CON LINEA BLANCA PORTAL LA CASTELLANA'],"['$2,250.00\xa0']",[' San Salvador ']
49,[' Alquilo Amplio Apartamento en Santa Tecla'],"['$1,100.00\xa0']",[' Santa Tecla ']
50,[' Penthouse en San Benito 212m2'],"['$2,500.00\xa0']",[' San Salvador ']
51,[' APARTAMENTO MONSERAT'],['$300.00\xa0'],[' San Salvador ']
52,[' Alquilo Apartamento Escalon zona El Carmen'],['$600.00\xa0'],[' San Salvador ']
53,[' Tengo apartamento de 1 recamara y bano propio !!!'],['$200.00\xa0'],[' San Salvador ']
54,[' Apartamento - Torre Allegro - San Salvador'],['$850.00\xa0'],[' El Salvador ']
55,"[' SE ALQUILA APARTAMENTO EN CONDADO SANTA ROSA, SANTA TECLA']","['$1,000.00\xa0']",[' San Salvador ']
56,"[' SE ALQUILA APARTAMENTO EN AVITAT ONE, ANTIGUO CUSCATLAN.']",['$950.00\xa0'],[' San Salvador ']
57,"[' SE ALQUILA APARTAMENTO EN NUVA, SANTA TECLA.']",['$900.00\xa0'],[' San Salvador ']
58,"[' Apartamento amueblado en Torre Altea, Escalón, con excelentes vistas']","['$1,250.00\xa0']",[' Antiguo Cuscatlán ']
59,[' Apartamento amueblado en Terraalta'],"['$2,000.00\xa0']",[' San Salvador ']
60,[' ALQUILO APARTAMENTO VILLAS DE EL CARMEN Z/ESCALON PARTE ALTA'],['$800.00\xa0'],[' San Salvador ']
61,[' ALQUILO AMPLIO APARTAMENTO EN COLONIA ESCALON AMUEBLADO PARTE ALTA'],"['$1,500.00\xa0']",[' San Salvador ']
62,"[' SE ALQUILA APARTAMENTO EN CONDAD SANTA ROSA, SANTA TECLA']",['$850.00\xa0'],[' San Salvador ']
63,[' ALQUILO BONITA HABITACIÓN EN ANTIGUO CUSCATLÁN'],['$180.00\xa0'],[' Antiguo Cuscatlán ']
64,"[' Alquilo moderno apartamento amueblado en Puerta del Alma, San Benito']","['$2,000.00\xa0']",[' San Salvador ']
65,"[' Alquilo moderno apartamento de 3 habitaciones en Altos Tower, Escalon']","['$1,400.00\xa0']",[' San Salvador ']
66,[' ALQUILER DE APARTAMENTO EN COLONIA SAN BENITO'],"['$1,400.00\xa0']",[' San Salvador ']
67,[' ALQUILO APARTAMENTO EN COLONIA SAN FRANCISCO (sin muebles)'],"['$1,100.00\xa0']",[' San Salvador ']
68,[' Elegante Apartamento en ALISIOS 115 (SAN BENITO)'],"['$3,560.00\xa0']",[' San Salvador ']
69,"[' Res. Vía del Mar. $450 Proximo a Sta Elena - Merliot, Santa Tecla']",['$450.00\xa0'],[' Santa Tecla ']
70,"[' APARTAMENTO PUERTA DE ALMA , CON EXCELENTES ACABADOS Y FINO  MOBILIARIO NUEVO']","['$3,200.00\xa0']",[' Antiguo Cuscatlán ']
71,[' APARTAMENTO EN ALQUILER EN SAN BENITO'],"['$2,000.00\xa0']",[' San Salvador ']
72,[' Apartamento en alquiler en Nuevo Cuscatlán'],"['$1,200.00\xa0']",[' La Libertad ']
73,[' ALQUILER DE APARTAMENTO PEQUEÑO'],['$250.00\xa0'],[' San Salvador ']
74,[' Alquilo Apartamento grande Escalon vacio.'],['$950.00\xa0'],[' San Salvador ']
75,[' Se alquila apartamento en la escalón'],['$800.00\xa0'],[' San Salvador ']
76,"[' Maquilishuat, alquilo apto, zona muy exclusiva en SS']","['$1,150.00\xa0']",[' La Libertad ']
77,"[' SE ALQUILA APARTAMENTO EN PORTAL LOS FAROS, TORRE NORTE.']","['$1,850.00\xa0']",[' San Salvador ']
78,"[' SE ALQUILA APARTAMENTO EN PORTAL LOS FAROS, TORRE NORTE.']","['$1,850.00\xa0']",[' San Salvador ']
79,"[' SE ALQUILA APARTAMENTO EN CONDADO SANTA ROSA, SANTA TECLA']","['$1,000.00\xa0']",[' San Salvador ']
80,"[' SE ALQUILA APARTAMENTO EN AVITAT ONE, ANTIGUO CUSCATLAN.']","['$1,000.00\xa0']",[' San Salvador ']
81,[' Se alquila apartamento moderno'],"['$1,050.00\xa0']",[' Santa Tecla ']
82,[' Alquiler de apartamento en Colonia Escalón. 2 habitaciones.'],['$825.00\xa0'],[' San Salvador ']
83,[' Aprtamente 1 habitación con jardín - Santa Tecla'],['$790.00\xa0'],[' Santa Tecla ']
84,[' CASA EN VENTA EN RESIDENCIAL MADRESELVA'],"['$289,000.00\xa0']",[' San Salvador ']
85,[' Alquiler de habitación'],['$250.00\xa0'],[' Antiguo Cuscatlán ']
86,[' En Alquiler moderno apartamento'],['$975.00\xa0'],[' San Salvador ']
87,[' Alquiler de moderno apartamento a estrenar'],"['$1,200.00\xa0']",[' El Salvador ']
88,[' Alquiló Apto Estudio Con Servicios Incluidos'],['$550.00\xa0'],[' Santa Tecla ']
89,[' Alquilo cuarto en casa'],['$150.00\xa0'],[' El Salvador ']
90,"[' SE ALQUILA APARTAMENTO EN CONDAD SANTA ROSA, SANTA TECLA']",['$850.00\xa0'],[' San Salvador ']
91,[' SE ALQUILA APARTAMENTO EN LOMAS DE SAN FRANCISCO.'],['$900.00\xa0'],[' San Salvador ']
92,[' EN ALQUILER APARTAMENTO SIN MUEBLES COLONIA ESCALON Con Línea Blanca'],"['$1,000.00\xa0']",[' San Salvador ']
93,[' Apartamento en alquiler en Colonia San Benito'],['$850.00\xa0'],[' El Salvador ']
94,[' PRECIOSO APARTAMENTO A ESTRENAR'],"['$1,300.00\xa0']",[' Santa Tecla ']
95,[' Amplio APARTAMENTO en PORTO ELIT (A ESTRENAR/SIN MUEBLES)'],"['$1,500.00\xa0']",[' San Salvador ']
96,"[' EN ALQUILER MODERNO APARTAMENTO, TOTALMENTE AMUEBLADO, EN PUERTA DEL ALMA, NIVEL 12.']","['$2,000.00\xa0']",[' Antiguo Cuscatlán ']
97,[' Habitaciones amuebladas'],['$125.00\xa0'],[' San Salvador ']
98,[' SE ALQUILA APARTAMENTO EN COLONIA SAN FRANCISCO'],['$975.00\xa0'],[' San Salvador ']
99,[' SE ALQUILA APARTAMENTO EN SANTA TECLA.'],['$850.00\xa0'],[' San Salvador ']
100,"[' SE ALQUILA APARTAMENTO EN TORRE LIBERTAD, COL. ESCALÓN']","['$1,200.00\xa0']",[' San Salvador ']
101,[' Alquilo Apartamento en colonia Escalon muy moderno'],"['$1,350.00\xa0']",[' San Salvador ']
102,[' LINDO APARTAMENTO EN ALQUILER EN SAN BENITO'],"['$2,000.00\xa0']",[' San Salvador ']
103,[' Se Alquila Apartamento en Lomas de San Francisco'],['$850.00\xa0'],[' Ayutuxtepeque ']
104,"[' SE ALQUILA APARTAMENTO TORRE LAS TERRAZAS SAN BENITO, AMUEB']","['$1,600.00\xa0']",[' San Salvador ']
105,"[' SE ALQUILA APARTAMENTO PUERTA EL ALMA, AMUEBLADO']","['$2,000.00\xa0']",[' San Salvador ']
106,"[' SE ALQUILA APARTAMENTO ALTOS TOWER, NUEVO A ESTRENAR, tiene 115']","['$1,600.00\xa0']",[' San Salvador ']
107,"[' SE ALQUILA APARTAMENTO SAN REMO SAN BENITO, FULL-AMUEBLADO']","['$1,300.00\xa0']",[' San Salvador ']
108,"[' SE ALQUILA APARTAMENTO CASA 5 SAN BENITO, FULL-AMUEBLADO']","['$1,900.00\xa0']",[' San Salvador ']
109,"[' SE ALQUILA O SE VENDE APARTAMENTO 105 CAMPESTRE, ESCALON']","['$2,300.00\xa0']",[' San Salvador ']
110,"[' SE ALQUILA APARTAMENTO TORRE ALISIOS SAN BENITO, GRANDE 300mt']","['$3,000.00\xa0']",[' San Salvador ']
111,"[' SE ALQUILA APARTAMENTO PORTO ELITE COLONIA ESCALON,']","['$1,450.00\xa0']",[' San Salvador ']
112,"[' SE ALQUILA APARTAMENTO 515 colonia San Benito, FULL-AMUEBLADO']","['$2,300.00\xa0']",[' San Salvador ']
113,[' SE ALQUILA APARTAMENTO TORRE AMBROGI COLONIA escalon'],"['$1,300.00\xa0']",[' San Salvador ']
114,"[' SE ALQUILA APARTAMENTO MONTECASTELLO SAN BENITO, PRIVADO']","['$1,300.00\xa0']",[' San Salvador ']
115,[' SE ALQUILA APARTAMENTO TORRE LAS VISTAS COLONIA ESCALON'],"['$1,300.00\xa0']",[' San Salvador ']
116,"[' ALQUILER APTO AMUEBLADO SAN BENITO, TORRE DE LUJO']","['$2,500.00\xa0']",[' San Salvador ']
117,"[' SE ALQUILA APARTAMENTO BELLA VISTA, AMUEBLADO, cochera 2 carros']",['$900.00\xa0'],[' San Salvador ']
118,[' Alquilo apartamento moderno Escalon'],['$950.00\xa0'],[' San Salvador ']
119,[' Alquilo apartamento vacío Escalon'],['$900.00\xa0'],[' San Salvador ']
120,[' Se Alquila Lindo Apartamento Amueblado Colonia Escalon'],"['$1,200.00\xa0']",[' La Libertad ']
121,"[' ALQUILER APARTAMENTO AMBUEBLADO, CONDOMINIO SAN BUENAVENTURA, COL. SAN FRANCISCO.']","['$1,000.00\xa0']",[' San Salvador ']
122,[' ALQUILER DE PENTHOUSE EN SANTA ELENA'],"['$1,300.00\xa0']",[' Antiguo Cuscatlán ']
123,[' ALQUILER DE APARTAMENTO AMUEBLADO DE LUJO EN TORRE AMBROGI'],"['$1,600.00\xa0']",[' San Salvador ']
124,[' Alquiler Apartamento en La Florida Sky )Nuevo Cuscatlan'],"['$1,200.00\xa0']",[' La Libertad ']
125,[' ALQUILO APARTAMENTO EN ESCALÓN (VACÍO)'],['$800.00\xa0'],[' San Salvador ']
126,[' Apartamento Bosques de la Escalón'],['$375.00\xa0'],[' San Salvador ']
127,[' Alquilo Apartamento'],['$600.00\xa0'],[' San Salvador ']
128,[' Apartamento amueblado en San Benito.'],"['$1,350.00\xa0']",[' San Salvador ']
129,"[' Apartamento Con Línea Blanca, Escalón']","['$1,100.00\xa0']",[' San Salvador ']
130,[' ALQUILER DE APARTAMENTO VACÍO EN SANTA TECLA POR LA DESPENSA HOLANDA NO PRIVADO'],['$525.00\xa0'],[' Santa Tecla ']
131,[' Apartamento inteligente con línea blanca en Altos Tower'],"['$1,500.00\xa0']",[' San Salvador ']
132,[' Apartamento El Encanto Country Club en Alquiler'],"['$1,650.00\xa0']",[' Zaragoza ']
133,"[' SE ALQUILA APARTAMENTO TORRE SAN BENITO, PRIVADO, AMUEBLADO']",['$700.00\xa0'],[' San Salvador ']
134,"[' SE ALQUILA APARTAMENTO CASA 5 SAN BENITO, FULL-AMUEBLADO']","['$1,900.00\xa0']",[' San Salvador ']
135,"[' SE ALQUILA APARTAMENTO 515 colonia San Benito, FULL-AMUEBLADO']","['$2,300.00\xa0']",[' San Salvador ']
136,"[' Apartamento Casa del Arbol, Santa Rosa']","['$1,500.00\xa0']",[' San Salvador ']
137,[' ALQUILO PRECIOS APARTAMENTO EXCLUSIVO EN ESCALON'],"['$1,700.00\xa0']",[' San Salvador ']
138,"[' SE ALQUILA APARTAMENTO EN NUVA, SANTA TECLA.']",['$900.00\xa0'],[' San Salvador ']
139,[' Vendo Casa en Col. Maquilishuat'],"['$1,500,000.00\xa0']",[' San Salvador ']
140,"[' SE ALQUILA APARTAMENTO EN ALTOS TOWER, ESCALON.']","['$1,200.00\xa0']",[' San Salvador ']
141,[' Se alquila apartamento en Santa Tecla'],['$375.00\xa0'],[' Santa Tecla ']
142,[' Alquiler Apartamento Full Amueblado Escalón -Terra Alta'],"['$2,000.00\xa0']",[' San Salvador ']
143,"[' SE ALQUILA APARTAMENTO BELLA VISTA, AMUEBLADO, cochera 2']",['$900.00\xa0'],[' San Salvador ']
144,"[' SE ALQUILA APARTAMENTO TORRE SAN BENITO, PRIVADO, AMUEBLADO']",['$700.00\xa0'],[' San Salvador ']
145,[' Alquilo bonito apartamento'],['$260.00\xa0'],[' Mejicanos ']
146,"[' SE ALQUILA APARTAMENTO EN NUVA, SANTA TECLA.']",['$900.00\xa0'],[' San Salvador ']
147,"[' SE ALQUILA APARTAMENTO EN CONDAD SANTA ROSA, SANTA TECLA']",['$850.00\xa0'],[' San Salvador ']
148,[' EN ALQUILER APARTAMENTO AMUEBLADO COLONIA MAQUILISHUAT'],"['$1,600.00\xa0']",[' San Salvador ']
149,[' ALQUILO APARTAMENTO EN ESCALÓN PARTE ALTA'],['$950.00\xa0'],[' San Salvador ']
150,[' APARTAMENTO EN COL. ESCALON (Zona Luceiro). FULL AMUEBLADO.'],"['$1,250.00\xa0']",[' San Salvador ']
151,[' Bonito Apto. Para persona sola o pareja Col.Miralvalle.'],['$300.00\xa0'],[' San Salvador ']
152,"[' SE ALQUILA APARTAMENTO TORRE LAS VISTAS ESCALON, LINEA BLANCA']","['$1,300.00\xa0']",[' San Salvador ']
153,"[' SE ALQUILA APARTAMENTO MONTECASTELLO SAN BENITO, AMUEBLADO']","['$1,300.00\xa0']",[' San Salvador ']
154,[' Alquiler de apartamentos'],['$150.00\xa0'],[' San Salvador ']
155,[' Alquiler de casa en Colonia Granillo'],['$300.00\xa0'],[' San Miguel ']
156,[' APARTAMENTO A ESTRENAR'],['$870.00\xa0'],[' Santa Tecla ']
157,[' Alquilo 2 Apartamentos Zona Centro San Salvador'],['$185.00\xa0'],[' San Salvador ']
158,[' BUSCO miniapartamento para pareja cerca de el salvador del mundo o cerca de metro $225 max'],['$225.00\xa0'],[' San Salvador ']
159,"[' 1. Apartamento en Alquiler, en Torre Life II, Condado Santa Elena con L/B']","['$1,350.00\xa0']",[' San Salvador ']
160,[' Renta de apartamento'],['$210.00\xa0'],[' Santa Tecla ']
161,[' Busco casa o apartamento'],['$450.00\xa0'],[' San Salvador ']
162,[' Apartamento céntrico en San Salvador'],['$350.00\xa0'],[' San Salvador ']
163,[' alquiler - hermoso apto nuevo cuscatlan'],"['$1,300.00\xa0']",[' La Libertad ']
164,[' Alquiler apartamento'],['$375.00\xa0'],[' San Salvador ']
165,[' APARTAMENTO EN COLONIA SAN LUIS-HOSPITAL MILITAR'],['$375.00\xa0'],[' San Salvador ']
166,[' Se alquila apartamento en zona tranquila.'],['$350.00\xa0'],[' San Salvador ']
167,[' ALQUILO APARTAMENTO CARRETERA LOS PLANES DE RENDEROS'],['$600.00\xa0'],[' San Salvador ']
168,"[' SE ALQUILA APARTAMENTO EN NUVA, SANTA TECLA.']",['$900.00\xa0'],[' San Salvador ']
169,[' SE ALQUILA APARTAMENTO EN CONDOMINIO TRIANA.'],"['$1,000.00\xa0']",[' San Salvador ']
170,[' Habitaciones'],['$325.00\xa0'],[' San Salvador ']
171,[' Alquiler de apartamento colonia Escalón.'],['$950.00\xa0'],[' San Salvador ']
172,[' ALQUILER APARTAMENTO ESCALON'],['$750.00\xa0'],[' San Salvador ']
173,[' Modern and unequal Apt for rent.'],['$599.00\xa0'],[' La Libertad ']
174,[' Apartamento Moderno en Colonia Escalón'],['$900.00\xa0'],[' San Salvador ']
175,[' Torre 91 alquiler lindo apartamento en corazón de escalón calle el mirador'],['$975.00\xa0'],[' San Salvador ']
176,[' Alquilo Apto. En Escalon Torre ALTA 510'],"['$1,200.00\xa0']",[' San Salvador ']
177,[' SE ALQUILA CASA PARA BODEGA O FAMILIA'],['$350.00\xa0'],[' Sonsonate ']
178,[' Apartamento Ciudad Satélite San Salvador i7'],['$275.00\xa0'],[' San Salvador ']
179,[' APTO en COL. SAN BENITO (A ESTRENAR).'],"['$1,600.00\xa0']",[' San Salvador ']
180,[' APARTAMENTO EN COL. ESCALON (Zona Luceiro). FULL AMUEBLADO.'],"['$1,250.00\xa0']",[' San Salvador ']
181,[' Se alquila mini apto por Garcia Flamenco'],['$450.00\xa0'],[' San Salvador ']
182,[' ALQUILO moderno Apto amueblado en Zona privilegiada de Escalón.'],"['$1,350.00\xa0']",[' San Salvador ']
183,[' CASA 5 San Benito - Apartamento en Alquiler AP-085'],"['$2,500.00\xa0']",[' San Salvador ']
184,[' Apto a estrenar sin o con linea blanca'],"['$1,400.00\xa0']",[' San Salvador ']
185,[' Alquiler apartamento Torre Mallorca'],"['$1,000.00\xa0']",[' San Salvador ']
186,"[' SE ALQUILA APARTAMENTO EN VISTA TOWER, ESCALON.']",['$900.00\xa0'],[' San Salvador ']
187,[' Alquilo Apartamento a estrenar en Altos Tower con Vista a la Ciudad.'],"['$1,350.00\xa0']",[' San Salvador ']
188,[' SE ALQUILA APARTAMENTO TORRE AMBROGI COLONIA ESCALON'],"['$1,300.00\xa0']",[' San Salvador ']
189,"[' SE ALQUILA APARTAMENTO 515 colonia San Benito, FULL-AMUEBLADO']","['$2,300.00\xa0']",[' San Salvador ']
190,"[' SE ALQUILA APARTAMENTO LIFE SANTA ELENA, NUEVO A ESTRENAR']",['$950.00\xa0'],[' San Salvador ']
191,"[' Apartamento Condominio Santorini, Autopista a Comalapa']",['$400.00\xa0'],[' San Salvador ']
192,[' Alquilo Apartamento Semi amueblado en Altos Tower'],"['$1,500.00\xa0']",[' San Salvador ']
193,"[' SE ALQUILA APARTAMENTO EN NUVA, SANTA TECLA.']",['$900.00\xa0'],[' San Salvador ']
